APOL1	ARNT	ARSA	ARSB	ATF4	ATF6	ATG10	ATG12	ATG16L1	ATG16L2	ATG2A	ATG2B	ATG3	ATG4A	ATG4B	ATG4C	ATG4D	ATG5	ATG7	ATG9A	ATG9B	ATIC	BAG1	BAG3	BAK1	BAX	BCL2	BCL2L1	BECN1	BID	BIRC5	BIRC6	BNIP1	BNIP3	BNIP3L	CALCOCO2	CAMKK2	CANX	CAPN1	CAPN10	CAPN2	CAPNS1	CASP1	CASP3	CASP4	CASP8	CCL2	CCR2	CD46	CDKN1A	CDKN1B	CDKN2A	CFLAR	CHMP2B	CHMP4B	CLN3	CTSB	CTSD	CX3CL1	CXCR4	DAPK1	DAPK2	DDIT3	DIRAS3	DLC1	DNAJB1	DNAJB9	EDEM1	EEF2	EEF2K	EGFR	EIF2AK2	EIF2AK3	EIF2S1	EIF4EBP1	EIF4G1	ERBB2	ERN1	FADD	FAS	FKBP1A	FOS	GAA	GABARAP	GABARAPL1	GABARAPL2	GAPDH	GNAI3	GOPC	GRID1	GRID2	HDAC1	HDAC6	HGS	HIF1A	HSP90AB1	HSPA5	HSPA8	HSPB8	IFNG	IKBKB	IKBKE	IL24	IRGM	ITGA3	ITGA6	ITGB1	ITGB4	ITPR1	KIF5B	KLHL24	LAMP1	LAMP2	MAP1LC3A	MAP1LC3B	MAP1LC3C	MAP2K7	MAPK1	MAPK3	MAPK8	MAPK8IP1	MAPK9	MBTPS2	MYC	NBR1	NCKAP1	NFE2L2	NFKB1	NKX2-3	NPC1	NRG1	NRG2	NRG3	P4HB	PARP1	PEA15	PELP1	PEX14	PEX3	PIK3C3	PIK3R4	PINK1	PPP1R15A	PRKAB1	PRKAR1A	PRKCD	PRKCQ	PTEN	PTK6	RAB11A	RAB1A	RAB24	RAB33B	RAB5A	RAC1	RAF1	RB1	RB1CC1	RELA	RGS19	RHEB	RPS6KB1	SAR1A	SERPINA1	SESN2	SH3GLB1	SIRT1	SIRT2	SPHK1	SQSTM1	ST13	STK11	TBK1	TM9SF1	TMEM74	TNFSF10	TP53	TP53INP2	TP73	TSC1	TSC2	TUSC1	ULK1	ULK2	ULK3	USP10	UVRAG	VAMP3	WDFY3	WDR45	WIPI1	WIPI2	ZFYVE1
GSM531302	7.534556969	8.975191551	8.356189805	8.22574493	7.778901438	11.26169703	9.380081887	9.013968936	8.065422236	8.943602858	8.886566662	7.291711945	10.59114728	9.26571755	7.225634132	9.024008103	7.549212229	8.232093676	10.43036934	9.022082093	7.593809184	11.07831847	7.636647449	10.60493502	8.751664773	7.806104082	8.679355138	7.495172193	9.090817347	8.415481467	7.442684642	9.059816334	7.840685433	9.60816179	9.54802387	8.851583056	9.394956653	9.549709118	10.17855073	7.595555967	8.313377826	10.83206381	8.774521132	7.378188611	7.205803177	7.209894096	8.901107988	8.090400391	11.06341442	7.3481157	10.6269325	7.682631954	11.04156486	8.860925319	9.950350073	9.213209269	12.14506607	13.14302507	10.56494933	8.11733943	8.768723544	7.643343476	9.52110622	7.162490603	7.609429535	9.872117408	10.20274845	10.03777161	13.76567423	11.26479694	7.897110284	11.12273428	7.799023999	8.263652113	8.084487066	7.780353503	7.403372414	9.685888317	9.020925438	8.173381961	8.811521683	9.952535698	9.241869995	7.92823785	12.01464703	11.15573667	14.4714348	8.187094361	7.175732202	7.193003558	7.195886982	12.62081903	9.541829689	11.74556274	7.767202198	12.37585914	10.66367112	13.17535891	7.215767293	7.822871743	9.514235199	8.684989156	7.862120824	7.162490603	7.204395789	7.201329628	7.232717299	8.632651268	8.93632303	8.44329823	7.355510232	14.07164587	8.928605021	8.337152534	9.515095658	7.264353143	7.909704518	9.408475097	11.92539297	7.868710972	7.658253616	9.068088921	7.600779483	8.635064535	7.989315747	13.33743441	9.356568725	12.24680057	7.312797311	10.01673435	7.265676101	7.247382081	7.278189044	12.75785314	11.49862288	12.55702091	9.071835872	8.095289652	7.807513451	7.602515061	8.677943788	9.356252948	11.5327915	9.322112294	12.32242591	7.225634132	8.546509611	9.924995768	7.525300711	12.28848814	11.44952106	8.199687982	7.167732477	11.65603042	8.031035932	9.694897322	8.255341492	9.377277896	8.083496571	9.360983292	10.57781423	10.83390353	8.096263336	7.212845672	8.546000899	8.178558487	7.813128898	7.590307173	8.246146428	11.16894295	9.410615579	8.674174601	9.820507951	8.661393223	7.359241281	10.12567226	7.731204392	9.449870038	7.442684642	8.205480633	8.648039024	7.372457771	7.307783253	7.758330385	7.506561985	8.520809479	9.255011514	11.34870651	8.78295979	9.645375708	10.06647333	7.186249925	7.666444728
GSM531303	9.133718912	8.542905806	9.100455233	9.667679964	8.008775992	11.17990807	9.266769014	8.748544251	8.028398918	8.532400738	8.895668118	7.270714558	11.37705367	9.134345727	7.225163946	9.276526516	8.106275055	8.152624003	11.03714341	9.031745767	7.667813771	11.45443141	7.358974721	11.21258327	9.313558411	8.234484747	7.854778099	8.230797851	9.757740692	8.411334446	7.686431494	8.472134858	8.226342489	9.782976664	10.26714613	9.106207742	9.773924266	10.15026622	10.94971667	7.613131137	8.624617841	11.69295185	8.874402366	7.414074028	7.276033025	7.608165218	10.05656136	7.309944032	11.46485907	8.299067495	9.906321799	7.63276337	9.988191306	8.838572559	10.52235101	9.744119217	12.32739851	14.38339013	8.412953786	7.479833362	8.759679673	7.653620253	11.30765389	7.498294055	9.057945432	11.36231998	10.69275995	11.29121076	13.03058455	11.05097162	8.192593412	10.95971341	7.608165218	8.276978983	8.244684925	7.750366213	7.364336171	7.661530124	8.705682117	8.169256636	9.946172972	10.36837602	8.728063155	8.147545375	10.72560454	12.21572001	14.01332924	8.239607328	7.166115178	7.177810986	7.148380745	11.83943943	9.129009813	11.91629169	8.987322836	12.93054016	10.78660178	12.94803672	8.578323664	8.648981014	8.960620089	8.8773524	7.44419946	7.121738072	8.374557116	7.250374901	7.208571672	7.912738016	9.339046364	9.773305053	7.269414842	13.96964794	12.2474346	8.898579297	9.797469064	7.300597533	7.89346787	9.284231696	11.53858039	7.404715234	7.466765472	9.507282183	7.874974096	8.322219565	8.360001348	12.28318775	8.988354185	11.39493439	7.239389632	10.79603907	7.278762148	7.663104711	7.308364136	13.04265989	11.20736684	11.84357296	8.483384247	8.407539212	7.66624653	7.567586204	8.920604578	9.186426964	11.54968556	9.434404146	12.093043	7.225163946	7.712218821	9.082746878	7.355425068	11.5735398	10.59094102	8.544722654	7.126840974	11.86065334	7.701682931	9.684202731	8.782895718	9.524666669	8.408625979	9.97311614	11.89374565	10.02137983	7.756100029	7.220151021	8.020202912	8.424700965	7.584679885	7.889802622	8.541996296	12.48459063	9.370326296	8.613383139	10.65262912	9.429229991	7.191459832	12.04858901	7.830147504	9.358433071	7.231731347	8.144990392	8.757696813	8.349888732	7.280143715	7.208213322	7.663104711	8.861431812	9.506050418	11.37606776	8.176596064	9.427933722	10.24637113	7.187429345	9.83359048
GSM531304	7.671168187	9.953562072	7.946975197	8.143421209	7.73380099	11.02819517	8.923528825	8.959763484	8.161345203	8.722504544	8.616516942	7.346056963	10.7938055	9.036238789	7.296918844	9.002910513	7.47445464	8.271788415	10.12743595	9.305497038	7.819684158	11.57763391	7.631703424	10.76862479	8.954237184	7.753042626	8.219068842	7.180128064	9.67191442	8.332335751	8.059121757	8.629278812	8.044425438	11.70898588	10.97687543	9.006943608	8.871615805	9.456555647	9.612011383	7.743469316	8.48704892	10.30321615	8.292934137	7.66598951	7.319448465	7.447464443	9.665265635	7.191491858	10.81797914	7.175022839	9.908962151	7.980368486	10.02082915	8.625404199	10.49113902	9.174514364	13.12830379	13.81357911	8.212970249	7.477452701	8.161345203	7.810774945	11.34954424	8.832525147	9.3408736	11.27648335	10.40260629	9.404510753	13.47666186	10.26140817	8.234576362	10.84934515	7.379711151	8.766094651	8.443905125	8.255245126	7.417658869	9.72063511	8.717244371	7.501363875	9.062884083	10.07762221	8.931022506	8.479928066	10.87339813	11.75099298	14.52596217	8.371711351	7.148328888	7.176293038	7.17430081	12.78382672	9.525265975	12.23129313	8.008805018	12.38141698	10.1044515	12.9393015	8.553046367	7.663390644	9.365384278	8.447438346	7.66598951	7.123709449	8.615402988	7.159091323	7.178291532	7.960141745	9.552747982	9.506353021	7.202819281	15.37193822	9.562775241	8.67729801	10.10146795	7.176709117	7.931640904	9.416882785	11.64703141	7.828505123	7.405859187	9.11497936	7.351548898	8.748577882	8.293965073	13.10722582	8.96252014	11.57148764	7.165575409	10.85580915	7.351548898	7.196148123	7.251042375	12.97234072	11.51327948	12.65789499	9.059847055	8.127789588	7.495402623	7.668582019	8.666495329	9.499330132	12.51048006	9.741568283	11.85510332	9.565353011	8.381806831	9.351526557	7.21466493	11.67320288	9.851779601	9.994466657	7.160194227	11.32137111	7.983986173	9.250811925	7.954527347	9.953056568	8.134948631	9.226150323	11.30759393	10.42204415	7.790402401	7.201007214	8.284597447	8.551309347	7.726486882	7.568317214	8.978060071	10.59899815	10.30241143	8.468698942	10.03408449	8.836473032	7.169046151	9.709476329	7.233229467	8.978515053	7.337919507	8.267435621	8.5827997	7.385465421	7.516195497	7.221184423	7.516195497	8.525422261	8.985778781	11.1352419	8.180004352	9.225361545	10.32795037	7.175194325	7.79951311
GSM531305	9.280193677	8.837081888	8.694686233	8.417879278	7.74043094	10.77156677	9.240021313	9.899227132	8.341219731	8.79408	8.574839433	7.390987891	10.7106951	9.550207584	7.252659393	8.991162923	7.758655969	8.420515254	10.90971385	9.570945864	7.381797338	10.99092852	7.478508416	10.89905444	8.870459592	8.019904601	8.080719102	7.622829276	9.23030359	8.463915734	7.581916787	8.740616998	8.373668659	9.823899243	9.618337489	8.740216681	9.34626208	10.28850768	10.45631425	7.49312118	8.947268032	11.21894012	8.773864755	7.415143116	7.219613546	7.217333106	11.00766035	8.502708968	11.04329657	8.133061776	9.576365358	8.840453749	10.53204812	8.798321249	10.38801676	9.249391298	12.80999436	13.59798212	10.30974246	8.421566852	8.654946622	8.553671918	10.69279997	7.283484782	8.936086522	10.28049331	10.05436034	10.02304404	13.55928995	10.46622274	7.961939676	10.31652722	7.482179341	8.514501719	7.951081074	8.042392426	7.600122084	8.82578657	9.090116638	7.827966174	9.097675768	9.704922501	9.196943689	8.263239319	11.0435289	11.78629544	14.03301459	8.021889408	7.195336403	7.199090898	7.172580421	11.67386428	9.507803808	11.78980241	7.746078362	12.53740638	11.55410765	13.27396055	7.188477618	7.54451674	9.502116934	8.857198763	7.460007874	7.172928019	7.260895318	7.299800717	7.613160393	7.196465249	8.581087269	8.788276874	7.254943785	14.22330277	9.730019465	8.714369865	10.16650847	7.207944024	7.82411763	9.51864078	11.82346203	7.890756636	8.314468407	9.61527058	7.640314807	8.324944096	8.040465943	12.58547737	9.077111927	11.65164806	7.245118687	9.216472603	7.358305696	7.239243727	7.229847434	12.85607089	11.12295439	13.08768039	8.716812145	8.080719102	7.535828326	7.671326692	8.738614333	9.911723376	11.34859733	9.777154316	11.73940664	7.287813314	8.165709269	9.344143204	7.876418328	12.29474051	10.68452221	8.593947076	7.120539732	11.11255691	7.894300724	9.48851923	8.406696396	8.907040377	8.194451522	9.653779319	11.23250272	10.066183	8.247461582	7.277864554	9.05463781	8.182960802	7.730461916	7.96301677	8.503657618	12.91071877	9.01062898	8.950050187	9.781450839	9.081883187	7.19475274	11.70476138	7.754483169	9.196063085	7.242112319	8.280587805	8.614121913	8.408840676	7.282063253	7.23063177	7.717481667	8.624108401	9.478416484	10.81297158	8.109162167	7.306020582	9.823710024	7.214230157	7.787323285
GSM531310	7.312747884	9.368666454	8.662296115	8.997175066	7.941510917	10.24038532	8.904698295	8.096087101	8.129055533	8.274837241	8.807634084	7.489506326	10.55801953	8.563951631	7.207720915	9.340835176	8.236374133	8.097452308	10.41418154	9.193083478	7.276500955	11.56553177	7.381030818	9.912374189	9.378419814	7.584014813	8.185268515	7.892389566	9.492375428	8.960497196	8.784040582	8.960841227	8.168126361	9.628999846	10.26982879	8.727534608	8.177047886	10.12047499	10.6214706	7.332119055	7.763052602	11.84442944	8.654618189	7.467929874	7.253734182	7.417807818	9.06363265	7.786917723	11.26599699	7.246946691	10.0031715	9.295998472	9.515774591	8.627401634	10.02016499	9.004864204	12.17220914	13.75764176	8.512104565	9.898104849	9.120047113	8.049339484	10.05893514	7.289921559	8.223053399	9.947857641	9.980636816	10.36767874	13.47432873	10.12817086	7.99526563	10.38460609	8.009408097	8.291586612	8.657182246	7.615238342	7.652813669	9.477193833	9.037815596	7.442365073	8.392552156	11.42170045	9.694293225	8.127065217	10.42593865	12.43500633	13.84902523	8.066315695	7.52574125	7.199490698	7.157752476	12.38769831	9.023082804	11.72386124	8.201529983	13.27477369	10.23885521	13.26914268	8.025556908	7.52574125	9.370210948	8.227915575	7.35209954	7.162345991	8.418554949	7.296300961	7.407972182	7.746219038	8.970781705	9.488358714	7.605641849	13.96270548	9.673692585	8.185268515	9.904288283	7.33911006	7.815589239	9.357028538	11.28150304	7.807601527	7.636270956	9.316191163	7.664044593	9.049491865	7.845245553	11.31567139	9.229935901	10.79667266	7.341455966	9.833995649	7.303892257	7.346169525	7.27447884	13.56259348	11.19436691	11.39784872	8.653334369	8.419583406	7.464299527	7.680178699	9.281826537	9.507395498	11.11421122	9.050460532	12.14010609	9.974611189	7.695092355	9.20122767	7.263518352	11.27293184	10.96967016	9.694497722	7.123115695	10.91059137	7.574143881	10.19360358	8.852923523	9.863150492	8.369189519	9.784411056	11.59609325	10.27241359	8.057153047	7.27046359	7.826148949	8.259018472	7.795058307	8.160421822	8.668662009	9.923373895	9.207305084	8.647757246	9.874898193	9.036512238	7.214768324	9.365314239	7.383468433	8.982347378	7.178058011	8.920008094	8.753283503	8.817571278	7.255680967	7.411659802	7.647670646	8.845102384	8.63913246	11.08859813	7.752796326	9.836587012	10.27851674	7.08888217	7.70492339
GSM531313	7.671653265	9.338503388	8.777152075	8.490636989	7.717885748	10.96711553	8.737289905	8.354542312	8.215032418	8.193042266	8.403806932	7.551522617	10.8512435	9.279913223	7.247923661	9.328151775	8.260644404	8.427424653	10.65178853	8.978596456	7.273671629	11.02557345	7.397385842	9.448123299	9.389129141	8.124111821	8.477295315	7.765405154	9.573799238	8.492645128	8.296236291	8.318533987	8.632651688	9.491684733	10.41791672	8.379230145	8.341754564	9.799401262	9.817581867	7.359984091	7.915874214	11.82022421	8.638722844	7.277975925	7.30395947	7.352265955	9.525119529	8.561241372	10.09951914	7.288765296	9.606915612	9.359823354	9.364048151	9.693958529	10.14593964	9.056078647	12.91418992	13.00537277	8.596716311	8.910647052	8.467904447	7.508722646	10.02771419	8.573679738	7.517817287	10.04942232	10.46518659	10.97612395	13.19967223	10.03628339	8.199898764	10.22780155	7.993313356	8.778761656	8.721287975	7.57853241	7.473687087	8.87508315	9.217089275	7.532812898	8.496651043	9.381652546	9.256174345	8.16678161	10.79883345	11.63183315	13.94966025	8.547909399	7.777354831	7.16423921	7.078836495	11.8689489	8.644411242	11.46458216	8.306256922	13.64700354	9.285059204	13.28834482	7.337941039	8.586365349	8.94532289	8.334378542	7.330239371	7.142994257	7.969899959	7.328041158	7.345652035	7.635174374	9.768293586	8.576302109	7.68987036	13.40486578	12.3755774	7.70524245	10.18411614	8.065905776	7.99780445	8.975807397	11.22432959	7.755746966	7.477865682	9.528306513	7.423550205	9.348778035	8.100067128	12.161446	9.335922745	11.1178639	7.382015434	9.314665153	7.37431109	7.293094767	7.27905292	12.65789621	10.67746383	12.74932634	8.124111821	8.589331504	7.591793476	7.618763385	8.396403974	9.686132377	10.68409004	8.999886465	11.7685197	7.277975925	8.034276905	9.107037294	7.199437627	11.04698717	10.37685027	9.932119168	7.132839511	10.96318016	7.855923405	10.89351012	8.271006978	9.852793638	8.75245434	9.917801993	12.02971738	9.974873271	8.502634256	7.269372555	8.387630453	8.617167145	7.995240524	8.314771474	9.225974357	9.623966422	10.05377415	8.495050329	9.898906525	8.77747414	7.411593256	10.03005655	7.474733179	8.606617643	7.218929728	8.527436675	9.02651868	9.214036497	7.272596406	7.555421719	7.698437653	8.791890426	8.50183826	11.38146859	7.503638081	9.163765975	10.21195245	7.176420489	9.887125839
GSM531319	7.518647196	8.3269231	8.317354749	8.426896147	7.788507334	10.7116639	9.691244261	8.258944299	8.56077736	7.871642261	8.367327837	7.940913758	10.12599181	8.9723643	7.190244947	9.535409398	7.784891402	8.234297722	9.794905821	8.545336286	7.37685307	11.10696318	7.289742828	9.215252409	9.200589772	7.539733944	8.62763412	8.108798315	9.895769463	8.872720694	7.599397396	8.586458655	8.248539753	10.67459209	10.82167965	8.443618912	8.797184841	9.588351929	10.24986713	7.362311834	7.920393323	10.28829314	8.767816554	7.499776101	7.420332841	7.451465856	8.575762009	7.640109458	9.940917262	7.290469945	9.486986315	8.870026188	9.762771152	9.703177009	9.570251909	8.660684357	11.18494867	12.76170249	8.798471151	9.585325416	8.639684414	7.896228554	9.431550655	7.690781215	9.012575837	8.841312639	10.06232276	9.831227998	12.74943761	9.834555519	7.378230861	11.37472223	8.967318362	9.73922306	8.248539753	7.50924316	7.570784769	8.744008249	9.590466793	7.411602645	8.479688551	9.532115015	7.964786676	8.258203609	10.91315825	12.22657081	13.96214899	8.750394085	8.745873587	7.153733747	7.093917804	11.88377795	8.542289753	11.07474247	9.853606487	12.83950766	9.952520373	13.42474262	7.505463946	7.421002254	8.952077571	7.66398345	7.314290718	7.107649092	7.870669295	7.334945354	7.378230861	7.555649165	8.440028139	9.568261054	8.503044858	12.94923976	9.894420249	7.888561287	10.10691652	7.312856651	7.856976731	8.940661134	10.82993706	7.638388582	7.280262062	9.406114881	7.390575576	10.02240429	7.824164647	11.53068893	10.25591175	10.38403113	7.280262062	9.245676126	7.385786697	7.304947109	7.467105384	13.12664535	10.99783215	12.52540702	9.052167184	8.296944566	7.976573485	8.630511985	9.020578551	9.74031406	10.32335295	9.035578747	12.00128924	9.248342079	8.200763069	9.081186178	7.216211602	10.78152904	9.542132159	7.932089251	8.438720221	10.86896204	7.829185598	10.02442638	8.351092259	10.32673068	8.110442328	9.638872877	12.25943488	10.31335634	10.74159284	9.244913545	7.632060646	8.81254831	9.190338096	8.336428641	9.257068084	9.066639781	9.760487065	8.039269332	9.88913407	9.334632109	7.303504977	9.937465944	7.372712305	8.334673054	7.153733747	8.529425684	8.481596136	9.258769363	7.267048037	7.701249278	7.389892373	9.294606257	8.70264863	11.06756736	7.956110608	8.88004482	9.904935626	7.128451721	7.567167011
GSM531320	7.252907081	8.771916915	8.800494944	8.667333373	8.025028508	11.46233345	9.590156821	8.462811824	7.781637645	8.550802186	8.311821077	7.32035168	11.24293113	8.969607435	7.218015888	10.47466935	7.896747662	8.399662107	10.1339872	8.940756517	7.398744919	10.79697077	7.234666657	9.813603989	8.668415658	7.576217532	8.226962359	7.942518403	9.550551264	8.448207065	7.579371227	8.732112057	8.185717021	10.986589	11.40211961	8.703393475	9.029904594	10.09920353	9.714319659	7.546349674	7.979812056	10.96187179	8.436807614	7.607359777	7.238121609	7.44478379	9.316085954	7.321420495	11.01348691	7.251354254	9.748371428	8.874180059	9.233463911	8.726198404	9.801133112	8.95478942	12.24951678	13.00899917	8.832193921	9.933062006	8.472719293	8.098688201	9.788019855	8.057815429	7.435366536	10.37338823	10.03959872	9.775158516	13.6684865	10.50839615	8.096843245	10.19517089	7.82238008	8.432555046	8.509556791	7.695773109	7.61144666	8.439774481	8.591308194	7.493264609	8.884037449	11.52663369	9.006521413	7.694830039	10.62616165	11.81068145	13.76718823	8.210373466	7.395211479	7.229319594	7.256866314	12.03971009	9.239854219	11.55047132	8.752475735	12.83259653	10.22498951	13.63038412	7.537669837	7.378805681	9.343347549	8.058458895	7.253690042	7.144734023	7.814868504	7.220448268	7.25058432	7.920290621	9.172128426	9.36685636	7.486455892	13.48486494	12.53200642	8.32521949	9.582150352	7.142988604	7.833128773	8.99411077	11.15255829	7.508999902	8.465296684	9.241384139	7.949809796	9.095331041	7.953433811	12.21868222	9.509494789	10.92552373	7.235350479	9.002394928	7.428284155	7.305695785	7.255269225	13.37395441	10.94493103	11.89754441	8.542649878	8.460736972	7.344445097	7.610426362	9.051241398	9.712237522	10.48414102	9.092260818	12.1513689	9.866453461	7.438902138	9.428133524	7.298602331	11.20333904	10.50626873	9.957010061	7.134886389	11.73715225	7.954156891	10.23295882	9.780968387	10.23376689	8.455741786	9.52664265	12.27908389	10.11370905	7.942518403	8.155174971	7.691049237	8.619384225	7.832306166	8.005441501	7.803915591	9.855440348	9.629388824	8.480503493	10.20522212	9.221381299	7.200375321	9.021466605	7.201460913	9.059527948	7.308785665	8.424857561	8.431702508	8.733153484	7.307752492	7.350070096	7.738252741	8.619755447	8.643345831	11.51364936	8.21468471	9.716021159	9.852674731	7.172586769	9.979952218
GSM531321	7.823168499	8.672169767	8.938801282	8.290411121	7.633710661	10.56022235	9.14097366	7.995245928	8.594777402	8.260859729	8.349991661	7.809011139	10.67273564	8.841247683	7.209442804	9.76220434	7.835306264	8.755516308	10.61946021	8.787648088	7.264446754	10.85413347	7.364281179	9.896066444	9.35625513	7.737155302	8.48968885	8.336128022	9.819332103	9.770204152	7.531527666	8.602680898	8.444546548	10.24719033	10.61952118	8.376981717	8.210928704	10.63600431	10.90881607	7.317398534	8.297453479	11.48547982	7.215402412	7.414284035	7.397055802	7.69202272	12.74255291	8.711849671	10.70364423	7.473678331	9.785846223	7.359381778	10.07468327	10.24431326	9.871718866	8.908658052	12.68489614	13.49239746	10.00024436	7.233122491	9.367503681	8.6563324	9.312525505	7.214552535	8.182926669	9.609210767	9.817051949	9.754954014	12.90145197	10.01163819	7.863770175	10.79620754	8.418050368	9.065111288	8.131533204	7.41886792	7.552766781	8.496565234	9.864278778	8.122756284	8.756888504	11.42573409	9.229571099	8.89500996	11.34390326	12.06304343	13.9508101	8.906392318	9.048773127	7.152215964	7.136295917	11.51522615	8.666585476	10.97340254	9.404077566	12.20739256	9.928654518	13.10933069	7.541012097	7.550424726	8.989885885	8.405188466	7.362185469	7.133629679	9.169233024	7.275700309	7.379472773	7.675718669	9.142898389	9.365709881	8.630378945	13.57309723	12.21522601	7.824575211	10.54241274	7.780678294	7.978019864	9.659080313	11.52478864	7.615496728	7.471182902	9.395314985	7.616608302	9.531539233	7.884465851	11.82143705	10.98283204	11.04729514	7.326303483	9.984231629	7.923533466	7.377418914	7.432494657	12.41924077	10.80369045	12.23694389	8.638833741	8.39516299	8.153564672	8.910920233	9.147263173	9.740569731	11.35692048	8.676525166	12.05041039	7.364281179	7.846863986	9.629221598	7.237302463	11.34851819	10.39286047	7.93428529	8.770086508	11.44156208	8.038455568	9.581995071	9.644168537	10.07386958	8.35884792	10.52083743	11.78119278	9.848641724	10.16394988	7.461780616	7.509314276	9.047652362	9.175399822	8.38207408	8.803893204	11.03195928	10.10658185	8.288805143	10.06343051	8.608010128	7.278883855	11.50638998	7.684160755	8.314261359	7.175845925	8.405482179	8.45222361	9.028464321	9.962657027	7.751670454	7.650038052	8.613067213	9.035077377	11.70451383	7.66934873	9.091995283	9.536587041	7.109468728	9.490084293
GSM531323	7.683746677	8.941724353	7.789865593	8.393695795	7.897001643	10.4896726	9.082067181	8.304481051	8.004946047	8.821921923	8.564536646	7.456770189	10.63583329	8.82915039	7.25186283	9.726336833	7.921467836	8.357667444	10.58115477	8.610168293	7.357199826	10.55866989	7.396710364	9.542804694	8.94905412	7.374150223	8.214055244	7.999265482	9.4364173	8.436367933	7.726038278	8.847995279	8.650876974	9.796808386	10.23815612	8.801944742	8.063769962	10.12582347	10.00466899	7.395584646	7.886145736	10.74824035	8.516833095	7.503003692	7.285607913	7.395584646	8.801557744	7.626647323	10.55737982	7.207791926	9.650576478	9.09497486	9.429056322	8.717810966	10.03645652	9.060069328	11.62608703	13.07682393	8.115437514	7.32676194	8.421615528	7.997841322	10.11885637	7.547615587	8.702935647	9.867226819	9.890091538	9.724155682	13.41337644	9.669293265	8.768263773	9.842153676	8.058349196	8.545098601	7.97265372	7.563822343	7.509323611	8.75271747	9.167317829	7.463320991	8.544165945	9.14392364	9.5257118	8.027415233	10.06906173	11.67688248	13.830944	8.464396386	7.649422655	7.152810304	7.105837901	11.76931422	9.785660136	11.32993813	8.301118235	12.36064174	10.0736785	13.35862694	7.348164252	7.432511325	8.913798889	8.039190837	7.324516362	7.189525651	8.033663089	7.306625713	7.356069978	7.930521014	8.850986929	9.208339948	7.477404839	13.66174218	12.71296408	8.109582525	9.70456875	7.983510278	7.706419299	9.445198826	11.08372237	7.686489084	7.433621334	9.403730473	7.965363538	9.224128534	7.726038278	11.65312995	9.697100243	11.16346224	7.375279898	9.000984782	7.292214011	7.361719873	7.37753891	13.13527951	10.71352778	12.17747283	8.638311994	8.564536646	7.528096664	7.600523321	8.8393583	9.677735813	10.07244889	9.081117979	12.16616943	9.946054261	7.499831896	9.082383438	7.262687675	11.15603606	10.43639531	8.46290984	7.183066357	10.96654676	8.444436982	9.664327052	8.917721031	10.18894933	8.195908914	9.68816546	11.87053363	10.22955271	8.145581441	7.24108037	7.806572893	8.205619066	7.761802428	7.967555039	8.885300942	10.15102015	9.946560299	8.41802966	10.357951	9.994774738	7.235701324	9.521347636	7.440267656	9.045532498	7.147384073	8.892933516	8.757119902	8.483083042	7.329009208	7.549652819	7.844175186	8.477700769	8.699191915	11.64492616	7.733976707	7.652240828	10.41982789	7.094796444	9.936913333
